RAJ2000,DEJ2000,Jmag,Hmag,Kmag,Date
9.996956,84.886787,14.791,14.225,13.988,1999-10-19
9.987922,84.875710,16.231,15.695,15.698,1999-10-19
9.985201,84.897202,14.567,14.321,14.287,1999-10-19
7.278839,84.996872,15.782,15.438,15.302,1999-10-19
7.316989,84.973038,10.946,10.722,10.677,1999-10-19
7.632843,84.980804,13.698,13.310,13.337,1999-10-19
7.687958,84.988205,15.641,15.109,14.886,1999-10-19
7.701551,84.969742,16.626,15.932,15.566,1999-10-19
7.750575,84.976730,16.818,16.082,15.600,1999-10-19
7.778941,84.966019,12.626,12.127,12.008,1999-10-19
7.859917,84.940636,16.196,15.496,15.184,1999-10-19
7.898988,84.941406,14.903,14.406,14.469,1999-10-19
7.932572,84.961494,15.266,15.011,14.683,1999-10-19
8.033188,84.992165,15.031,14.506,14.519,1999-10-19
8.089769,84.958878,14.149,13.573,13.555,1999-10-19
8.085003,84.963158,14.534,14.229,14.168,1999-10-19
8.126077,84.997620,16.470,15.783,15.500,1999-10-19
8.303857,84.978432,13.577,13.223,13.133,1999-10-19
8.340812,84.990906,14.136,13.924,13.874,1999-10-19
8.392467,84.952950,16.752,16.229,15.528,1999-10-19
8.462725,84.990990,15.711,15.415,15.232,1999-10-19
8.450753,84.942894,16.611,15.894,15.773,1999-10-19
8.550617,84.971352,14.305,14.025,13.823,1999-10-19
8.525341,84.951126,15.904,15.185,14.991,1999-10-19
8.521468,84.971832,16.269,15.587,15.298,1999-10-19
8.528010,84.966515,15.577,14.972,14.820,1999-10-19
8.532711,84.998306,15.847,15.294,14.944,1999-10-19
8.581829,84.943398,16.562,15.928,15.647,1999-10-19
8.618593,84.977013,15.430,14.733,14.337,1999-10-19
8.699551,84.969971,15.839,15.443,15.123,1999-10-19
8.754358,84.969444,15.853,15.442,15.383,1999-10-19
8.767901,84.988853,8.021,7.887,7.848,1999-10-19
8.842910,84.994293,16.453,16.044,15.726,1999-10-19
8.851767,84.998550,14.743,14.451,14.255,1999-10-19
8.843248,84.985016,14.971,14.441,14.259,1999-10-19
8.846088,84.996887,16.723,15.160,15.209,1999-10-19
8.856933,84.996353,15.966,15.159,15.030,1999-10-19
8.893758,84.943680,16.603,15.603,15.635,1999-10-19
8.896094,84.996239,15.131,14.944,14.808,1999-10-19
8.917135,84.944702,11.314,10.696,10.612,1999-10-19
8.891640,84.963943,15.175,14.535,14.341,1999-10-19
8.928610,84.975883,16.700,16.329,15.606,1999-10-19
8.943695,84.995605,14.971,15.127,14.993,1999-10-19
8.966052,84.962578,16.116,15.709,15.605,1999-10-19
8.960064,84.981270,14.524,14.185,14.191,1999-10-19
8.956023,84.995583,14.704,14.484,14.417,1999-10-19
8.942960,84.953979,13.264,13.006,12.969,1999-10-19
9.028146,84.959282,16.850,15.622,15.560,1999-10-19
9.109987,84.944260,16.076,15.665,15.064,1999-10-19
9.083004,84.952995,16.431,15.850,15.683,1999-10-19
9.215412,84.950775,16.169,15.555,15.084,1999-10-19
9.311737,84.953072,16.803,16.450,15.589,1999-10-19
9.346674,84.995270,15.901,15.361,15.481,1999-10-19
9.373380,84.992584,15.105,14.614,14.442,1999-10-19
9.400957,84.953438,15.229,14.399,14.316,1999-10-19
9.415007,84.958832,12.743,12.419,12.401,1999-10-19
9.382498,84.998962,16.533,15.836,15.652,1999-10-19
9.455320,84.972290,15.891,15.356,15.455,1999-10-19
9.511077,84.943535,16.679,15.830,15.543,1999-10-19
9.607414,84.939835,14.234,13.578,13.514,1999-10-19
9.564490,84.997200,16.245,15.695,15.184,1999-10-19
9.681452,84.952614,15.600,14.836,14.659,1999-10-19
9.794466,84.973778,14.864,14.549,14.651,1999-10-19
9.824224,84.992996,13.917,13.256,13.119,1999-10-19
9.905041,84.946175,16.313,15.765,15.529,1999-10-19
9.932544,84.947906,16.857,15.936,15.480,1999-10-19
9.928989,84.979584,13.442,13.175,13.149,1999-10-19
9.972054,84.965782,15.203,15.003,14.878,1999-10-19
6.728589,85.055016,16.040,15.967,15.602,1999-10-19
6.792651,85.057533,16.707,16.043,15.538,1999-10-19
6.855954,85.038010,16.618,15.483,15.454,1999-10-19
6.875524,85.030869,16.464,16.206,15.688,1999-10-19
6.913985,85.032776,14.539,13.934,13.767,1999-10-19
7.040629,85.058098,15.798,15.189,15.155,1999-10-19
7.022222,85.008919,16.131,15.573,15.581,1999-10-19
7.053007,85.037552,15.295,14.885,14.897,1999-10-19
7.142194,85.043945,15.876,15.235,15.060,1999-10-19
7.173914,85.000626,13.070,12.536,12.401,1999-10-19
7.180723,85.018600,15.109,14.326,14.376,1999-10-19
7.204479,85.039139,15.598,14.732,14.803,1999-10-19
7.207063,85.016457,16.501,15.678,15.183,1999-10-19
7.359083,85.045326,15.934,15.320,14.886,1999-10-19
7.647746,85.010529,16.480,16.706,15.753,1999-10-19
7.711903,85.023720,14.388,13.778,13.558,1999-10-19
7.806406,85.008858,15.544,14.847,14.470,1999-10-19
7.772955,85.026711,9.517,9.399,9.356,1999-10-19
7.847866,85.012711,13.900,13.547,13.445,1999-10-19
7.863150,85.039047,15.135,14.727,14.640,1999-10-19
7.943267,85.013184,16.662,16.040,15.756,1999-10-19
8.039076,85.044670,15.968,16.029,15.573,1999-10-19
8.020187,85.023972,15.520,15.061,14.646,1999-10-19
8.039568,85.040665,12.692,12.039,11.905,1999-10-19
8.102995,85.016296,16.183,15.587,15.324,1999-10-19
8.232789,85.058960,14.151,13.846,13.742,1999-10-19
8.340831,85.012047,15.076,14.452,14.271,1999-10-19
8.366430,85.040352,15.152,14.434,14.285,1999-10-19
8.539676,85.040253,14.443,14.042,13.967,1999-10-19
8.537000,85.026894,15.355,14.829,14.444,1999-10-19
8.549364,85.039490,15.336,14.798,14.579,1999-10-19
8.560609,85.019333,15.968,15.240,14.910,1999-10-19
8.550360,85.010918,14.390,13.708,13.492,1999-10-19
8.565870,85.057114,15.582,14.931,14.724,1999-10-19
8.599309,85.026352,16.710,15.500,15.793,1999-10-19
8.623287,85.045448,9.197,9.074,9.029,1999-10-19
8.635559,85.038841,16.681,15.883,16.591,1999-10-19
8.725502,85.011490,15.198,14.522,14.179,1999-10-19
8.736878,85.049644,15.836,15.274,15.240,1999-10-19
8.691316,85.047890,13.279,12.922,12.883,1999-10-19
8.800574,85.029427,15.721,15.655,15.437,1999-10-19
8.825752,85.059273,16.168,15.610,15.645,1999-10-19
8.933751,85.030708,16.061,15.482,15.558,1999-10-19
8.904983,85.052017,16.678,16.024,15.657,1999-10-19
8.879991,85.047989,15.701,15.169,15.125,1999-10-19
8.952565,85.020851,16.673,16.024,15.222,1999-10-19
9.038148,85.045822,15.374,14.743,14.513,1999-10-19
9.048331,85.032211,14.808,14.318,14.451,1999-10-19
9.123949,85.027718,16.578,15.856,15.782,1999-10-19
9.122411,85.025352,16.658,15.791,15.585,1999-10-19
9.127287,85.057037,16.674,16.390,15.320,1999-10-19
9.166565,85.055054,13.729,13.303,13.190,1999-10-19
9.136117,85.062302,14.770,14.275,14.293,1999-10-19
9.179984,85.038734,14.417,13.716,13.664,1999-10-19
9.172393,85.010887,16.247,15.830,15.510,1999-10-19
9.187841,85.024368,13.629,13.305,13.247,1999-10-19
9.203331,85.058372,16.406,16.187,15.535,1999-10-19
9.224042,85.035439,14.599,14.238,14.343,1999-10-19
9.189914,85.020134,13.906,13.468,13.426,1999-10-19
9.285634,85.022102,16.357,15.342,14.848,1999-10-19
9.260139,85.031845,14.806,14.442,14.582,1999-10-19
9.353800,85.038452,15.978,15.647,15.191,1999-10-19
9.360677,85.007019,15.486,14.975,15.099,1999-10-19
9.382260,85.037636,15.093,14.635,14.496,1999-10-19
9.434464,85.041954,15.655,15.361,15.394,1999-10-19
9.396207,85.002823,15.762,15.085,14.940,1999-10-19
9.494953,85.025925,14.691,14.402,14.289,1999-10-19
9.539511,85.000549,15.988,15.192,15.024,1999-10-19
9.621464,85.049164,15.146,14.492,14.317,1999-10-19
9.666456,85.046593,14.174,13.707,13.633,1999-10-19
9.681910,85.030708,16.716,15.995,15.414,1999-10-19
9.686932,85.057854,12.794,12.511,12.476,1999-10-19
9.666069,85.006073,11.069,10.519,10.454,1999-10-19
9.747598,85.056252,12.999,12.428,12.417,1999-10-19
9.872290,85.016533,11.789,11.347,11.251,1999-10-19
9.812830,85.045067,15.466,15.157,14.903,1999-10-19
9.878077,85.006882,15.546,14.774,14.756,1999-10-19
9.933266,85.012703,16.189,15.714,15.419,1999-10-19
9.931003,85.026253,16.735,16.027,15.600,1999-10-19
9.894453,85.062401,15.525,14.904,14.663,1999-10-19
9.906250,85.005814,16.043,15.412,15.180,1999-10-19
9.926506,85.052551,13.519,13.153,13.037,1999-10-19
9.923737,85.006783,16.635,15.697,15.850,1999-10-19
9.950981,85.037712,16.789,15.899,15.652,1999-10-19
6.541891,85.102547,11.257,10.891,10.815,1999-10-19
6.667691,85.087830,14.617,14.344,14.267,1999-10-19
6.656654,85.096695,15.674,15.293,15.044,1999-10-19
6.743167,85.095871,12.074,11.753,11.715,1999-10-19
6.726261,85.123650,12.418,12.155,12.075,1999-10-19
6.799964,85.087746,16.231,15.599,15.353,1999-10-19
6.771705,85.067535,16.928,16.490,15.727,1999-10-19
6.782967,85.075562,14.584,14.303,14.191,1999-10-19
6.829676,85.096115,14.781,14.160,13.946,1999-10-19
6.846779,85.101883,13.144,12.824,12.785,1999-10-19
6.869727,85.109032,14.139,13.891,13.892,1999-10-19
6.852983,85.107254,16.499,15.566,15.488,1999-10-19
6.874382,85.065666,15.032,14.815,14.642,1999-10-19
6.911546,85.106407,15.370,14.987,14.859,1999-10-19
6.980499,85.115913,15.961,15.851,15.736,1999-10-19
6.948461,85.123436,15.795,15.181,14.934,1999-10-19
6.967052,85.096794,15.954,15.401,14.993,1999-10-19
6.988253,85.106606,16.692,15.909,17.124,1999-10-19
6.987816,85.119759,10.499,10.262,10.212,1999-10-19
6.945855,85.069588,15.144,14.906,14.824,1999-10-19
7.044874,85.096466,14.321,14.111,13.925,1999-10-19
7.008354,85.089958,12.407,12.086,12.032,1999-10-19
7.083429,85.062828,15.137,14.805,14.629,1999-10-19
7.110023,85.069321,15.798,15.096,14.793,1999-10-19
7.175321,85.085571,11.593,11.373,11.304,1999-10-19
7.141353,85.063202,16.584,15.831,15.768,1999-10-19
7.131368,85.087845,16.663,15.126,15.229,1999-10-19
7.128460,85.089272,14.314,13.960,13.900,1999-10-19
7.216088,85.093704,14.785,14.198,14.150,1999-10-19
7.328956,85.102570,16.346,15.798,15.592,1999-10-19
7.333416,85.115807,16.442,15.619,15.593,1999-10-19
7.370466,85.076126,15.786,15.429,15.245,1999-10-19
7.407594,85.121681,15.009,14.661,14.653,1999-10-19
7.399543,85.075172,16.248,15.516,15.293,1999-10-19
7.481721,85.099854,14.412,14.207,14.227,1999-10-19
7.545099,85.077095,16.441,15.708,15.458,1999-10-19
7.564653,85.098938,16.923,15.995,15.236,1999-10-19
7.597195,85.119408,13.055,12.675,12.552,1999-10-19
7.615526,85.083519,12.637,12.234,12.168,1999-10-19
7.640994,85.077065,16.585,15.544,15.011,1999-10-19
7.656392,85.063675,16.563,16.176,15.932,1999-10-19
7.684472,85.101273,16.506,16.340,15.324,1999-10-19
7.671902,85.068283,16.724,15.956,15.595,1999-10-19
7.695165,85.116577,11.665,11.114,11.048,1999-10-19
7.784911,85.102615,14.956,14.269,14.127,1999-10-19
7.845544,85.077148,15.602,15.137,15.249,1999-10-19
7.905504,85.102905,16.461,15.958,15.150,1999-10-19
7.927239,85.104156,15.927,15.780,15.493,1999-10-19
7.925635,85.068878,16.689,15.796,14.984,1999-10-19
7.916574,85.112144,16.721,15.796,17.091,1999-10-19
7.954853,85.072723,14.123,13.695,13.750,1999-10-19
7.982158,85.074348,16.036,15.439,15.698,1999-10-19
8.017072,85.065788,16.427,15.736,14.719,1999-10-19
8.025290,85.109665,16.420,16.089,15.355,1999-10-19
8.095473,85.074127,15.666,14.957,14.939,1999-10-19
8.065194,85.113983,13.910,13.503,13.348,1999-10-19
8.157012,85.065811,15.702,15.163,14.909,1999-10-19
8.216948,85.071434,14.147,13.640,13.536,1999-10-19
8.241561,85.088142,14.749,14.279,14.191,1999-10-19
8.196275,85.067886,13.503,13.199,13.106,1999-10-19
8.252967,85.119324,14.353,13.768,13.487,1999-10-19
8.254476,85.099518,14.265,13.810,13.684,1999-10-19
8.251988,85.124985,15.818,15.195,14.882,1999-10-19
8.326953,85.114044,15.935,15.410,15.257,1999-10-19
8.314371,85.091347,14.818,14.273,14.318,1999-10-19
8.351806,85.094391,15.839,15.128,15.097,1999-10-19
8.379798,85.090477,16.034,15.580,15.372,1999-10-19
8.402699,85.068161,14.614,14.321,14.177,1999-10-19
8.478314,85.080368,13.724,13.126,13.002,1999-10-19
8.519088,85.079948,15.465,15.154,15.317,1999-10-19
8.506879,85.107964,16.640,16.227,15.665,1999-10-19
8.557587,85.091530,16.353,15.436,14.329,1999-10-19
8.558364,85.072067,14.280,13.849,13.834,1999-10-19
8.513888,85.091003,14.544,14.124,13.989,1999-10-19
8.563409,85.090553,16.530,16.023,14.856,1999-10-19
8.723850,85.101120,16.456,15.789,15.328,1999-10-19
8.853894,85.072327,15.705,15.440,15.347,1999-10-19
8.892129,85.113640,16.693,16.208,16.130,1999-10-19
8.897466,85.110054,16.395,15.949,15.693,1999-10-19
8.924249,85.096992,15.294,14.815,14.529,1999-10-19
8.952244,85.119278,16.197,15.794,15.644,1999-10-19
8.992578,85.088966,16.653,15.789,15.853,1999-10-19
8.991729,85.093506,15.767,15.164,15.488,1999-10-19
8.986602,85.098190,14.160,13.766,13.587,1999-10-19
9.049192,85.103683,16.143,15.658,15.154,1999-10-19
9.124768,85.073738,14.511,13.904,13.792,1999-10-19
9.074185,85.089592,15.408,15.077,14.875,1999-10-19
9.168030,85.069855,15.165,14.530,14.353,1999-10-19
9.226806,85.076622,16.761,16.135,15.571,1999-10-19
9.227191,85.080574,15.864,15.363,15.417,1999-10-19
9.272532,85.105965,12.297,12.016,11.974,1999-10-19
9.286130,85.115471,14.606,13.975,13.879,1999-10-19
9.261913,85.120438,14.811,14.076,13.929,1999-10-19
9.349465,85.089195,14.090,15.229,15.127,1999-10-19
9.411548,85.108154,16.485,15.479,15.375,1999-10-19
9.377441,85.092712,6.281,5.764,5.648,1999-10-19
9.388827,85.069794,12.990,12.510,12.439,1999-10-19
9.463507,85.075218,14.391,14.024,14.058,1999-10-19
9.474915,85.123718,16.727,15.956,15.385,1999-10-19
9.501808,85.094604,15.608,14.943,14.591,1999-10-19
9.532328,85.106056,14.350,13.661,13.531,1999-10-19
9.515725,85.121994,16.021,15.467,15.119,1999-10-19
9.520619,85.118057,15.408,15.191,15.178,1999-10-19
9.534931,85.076889,15.759,15.416,15.230,1999-10-19
9.651077,85.097626,14.783,14.523,14.406,1999-10-19
9.672225,85.117531,14.445,14.016,13.931,1999-10-19
9.713636,85.120010,14.525,14.211,14.144,1999-10-19
9.733004,85.092400,14.395,13.947,13.810,1999-10-19
9.767186,85.102333,15.820,15.171,15.026,1999-10-19
9.782160,85.067566,16.556,15.891,15.625,1999-10-19
9.832490,85.065437,16.172,15.578,16.137,1999-10-19
9.852953,85.110909,13.777,13.111,12.933,1999-10-19
9.903139,85.101219,13.684,13.344,13.254,1999-10-19
9.877716,85.066513,15.985,15.708,15.571,1999-10-19
9.959020,85.097656,15.708,15.270,15.047,1999-10-19
9.937678,85.080551,16.453,15.776,15.489,1999-10-19
9.960790,85.123535,15.372,15.075,15.086,1999-10-19
6.315889,85.176064,16.036,15.921,15.963,1999-10-19
6.372770,85.170540,16.241,15.753,15.262,1999-10-19
6.387364,85.152061,16.655,16.031,15.390,1999-10-19
6.384819,85.162857,16.417,15.703,16.053,1999-10-19
6.456677,85.164368,16.296,15.786,15.299,1999-10-19
6.543751,85.138641,13.925,13.538,13.433,1999-10-19
6.520282,85.164970,16.312,15.847,15.518,1999-10-19
6.526915,85.156342,14.826,14.456,14.412,1999-10-19
