source_id,ra,dec,parallax,parallax_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist
573942909332943360,12.12843989475989,85.26076889159741,0.544762179500299,0.02116167140041043,-2.062848508773472,-0.9278057621660916,,14.778446,15.1509905,14.247428,0.0017066590913747636
573942909331852032,12.120805480235402,85.26217424533071,0.05770632666803813,2.3721652687916275,5.611546607244758,7.504011948738003,,20.803999,20.25644,19.532137,0.0023503730869285358
573942870676524032,12.0737735632219,85.26028908632416,0.9402890165988393,0.40706412587728136,-4.748696654383684,0.8911192218961369,,19.629683,20.508677,18.639437,0.0030073806752231678
573942909332939136,12.093812527810929,85.26522648136732,0.4576868234398388,0.03331906565453588,-2.38404300241228,-1.0496345526859518,,15.855015,16.386507,15.157482,0.005394758548568945
573942874973207424,12.098329659745083,85.25443128495284,0.9015930834110822,0.02606355521625768,6.1231375145037505,5.386450073467695,,15.323661,15.74227,14.74646,0.005651697712616133
573942870675953280,12.054603894556877,85.25636895703528,-0.07662635557650113,0.1463201803100433,-3.0237939010284363,3.445084519767259,,18.257292,18.750196,17.608835,0.005844233327915695
573942874971585664,12.083949749445198,85.25439899838061,0.3235491399974853,0.42343788552621037,-0.9429407187248249,1.9403443910709612,,19.901577,20.183271,19.025967,0.006000879621154211
573939920035708032,12.146944727180484,85.25475081216601,0.44748538565798646,0.047751481904647855,-2.294827544262771,-0.9324568412359209,,16.322018,16.72474,15.766785,0.006073258835370169
573942870677320704,12.091228084690835,85.25171059394037,0.20858365228695597,0.5638745379678227,-5.884739250852581,-1.0595858912472742,,20.210892,20.659426,19.084309,0.008433545147872647
573942909331851520,12.151203114886687,85.2678235735151,,,,,,21.284193,,,0.008531225156513438
573942874972117248,12.121986035826797,85.25114863820446,,,,,,21.003681,,,0.008906707535308112
573939954395443584,12.219879095000996,85.26214847646027,0.4410460671480206,0.0721079948234784,-2.4098857385060297,-0.798620941162662,,17.255873,17.788532,16.58448,0.00932850639927683
573939920035711616,12.139789607279807,85.24939971901871,0.4548252977091702,0.07346033975725869,-2.198220871515046,-0.8936692321483964,,17.257395,17.757742,16.612404,0.010882975753936751
573940057474652160,12.189743291246417,85.26980418687835,0.4496767845838568,0.0362796210337721,-2.2353523171902046,-1.1474182006953348,,15.933506,16.31152,15.406157,0.011809079356421377
573939915739820288,12.167463341163895,85.24882580123626,0.33344422809478125,0.05309029991389889,-1.6246615411904028,3.0551136972562962,,16.55173,16.970623,15.968907,0.01214345275640236
573942874973202176,11.961229862650415,85.26196204794147,0.3983980579329427,0.02746476371903608,-2.080081389618227,-1.1115177764566546,,15.137705,15.389584,14.514702,0.012446588787864426
573942874971570176,11.95739720584777,85.261646554262,0.9428333513531476,0.08373730375868003,-2.878983283506553,-0.5497574509270021,,16.76165,16.712225,15.802881,0.012715093650130835
573940053177417216,12.243918309508079,85.26643512095949,0.6391560909911234,0.045464420601298725,-2.3036210610850976,-0.9756692837645385,,16.179815,16.580471,15.633715,0.012794786572698258
573939954395446016,12.264085053576068,85.25700085567432,0.42199512548624724,0.017231450835343585,-2.1974350566804914,-1.2576838963325059,,13.371302,13.623725,12.965905,0.013085064985001992
573939954393823360,12.271939864144738,85.25784052791839,2.833032954900751,0.1315154209965403,75.13366287059966,3.539904677132238,,17.658985,18.553125,16.418594,0.01355790216713096
573941397504462720,12.059086731790671,85.24679160887692,0.5039773781394524,0.022896614371091778,-2.4446906200289593,-0.9857217031816802,,14.816027,15.186957,14.286821,0.013864024544822294
573941397504463616,12.077059166492582,85.24631008605061,0.5065358039805302,0.02175855989687768,-2.5564313017832223,-1.1445891469968141,,14.65832,15.163211,14.008011,0.013958674949316017
573941397502843904,12.008371114344465,85.24875532678922,0.12319402467258186,0.3116186780381742,-0.5233286600856428,0.24071722588227104,,19.377094,19.059824,18.221949,0.014040529797897237
573941397504457344,11.96482746278866,85.2525292720476,0.4866153350219731,0.01948653251369842,-2.0501756341515285,-0.7391206540915737,,13.913811,14.169673,13.50567,0.014140277943289755
573942909331848704,11.987998742494394,85.2702582817757,-0.5254987483870119,1.2944753085464524,-3.77944202438661,-2.2357713582139236,,20.731327,20.726484,19.724096,0.014375297934251043
573942874973203072,11.935752157444057,85.26031420194829,0.5094454986879063,0.05792818178140312,-2.410566314479707,-0.8564950149681047,,16.713337,17.144674,16.104511,0.014401789948666865
573941397504462080,12.029128866471392,85.24694493869374,0.5407088535532709,0.04294393626069132,-2.2228524399893335,-0.9463964208267795,,16.146362,16.547522,15.580172,0.014670248188198561
573942874973204224,11.933031607621835,85.25879909870315,0.4666362726902664,0.029191244366966705,-2.161957781693139,-1.0291417547800086,,15.356568,15.696879,14.8486185,0.014674717024194667
573941397504458368,11.971889956706532,85.25056711065271,0.43520789676841537,0.025555281714261274,-2.4748874224837527,-0.9714118950035865,,14.702307,15.073154,14.161243,0.014815056894195659
573941393208434688,11.987736709625342,85.24889111470893,0.4512057977501254,0.024613565123219598,-2.321612158676605,-0.9400180963558078,-40.42241392955065,11.664879,12.272744,10.946449,0.015023959855092464
573939950099564672,12.29168605938225,85.26073657360907,0.7066525054893131,0.09671605274537783,-2.294544358747415,-0.6148138171852068,,17.636118,18.186174,16.934258,0.015030384224279016
573939920034621056,12.202041969389356,85.24592182801409,-1.7081087858598492,1.012561618538254,0.9482792542367033,-9.782134740188322,,20.509867,20.748968,18.811085,0.01600671270373802
573939920034621184,12.199886217647794,85.24574717538044,,,,,,20.588339,20.50605,18.805887,0.016077281340376937
573942909331848832,12.050795126351057,85.2754286523035,0.9849860374490325,0.9183455475272807,-0.2973564817306573,2.1552855650448595,,20.568079,20.922016,20.09751,0.01618334586684573
573939954395448320,12.296574957802283,85.25332057053377,0.543090157385092,0.048401048128750034,-2.281838079951865,-0.6566355507255834,,16.407114,16.811464,15.848031,0.01681212755524309
573938442566966656,12.105278734513472,85.24302708059274,0.45762581203731617,0.0725781356384947,-2.4095945855519627,-0.9494575336287499,,17.195927,17.877,16.372677,0.01697741867614689
573938438271146752,12.12020219195896,85.24288538410163,0.42501869775424306,0.08314900944434024,-2.715495000328772,-1.1555590557934874,,17.404057,17.902994,16.72207,0.01713544199043313
573940057474652672,12.272933526348194,85.2706219609491,0.49369177829797745,0.025196063765348147,-2.3804313726436326,-0.8692142689856324,,15.011197,15.358225,14.501594,0.01713759199835223
573940057473010816,12.240563872810977,85.2733502937207,0.5414958764481765,0.23021375361697113,1.5810673341194736,0.27260605194522347,,19.174412,19.407637,18.08827,0.017155372348755832
573938442566967168,12.167088439957437,85.24345766624846,0.21183132585655703,0.21082259570865447,-3.913285552468179,-0.5084414195283278,,18.818577,19.307905,17.998274,0.017204090736250784
573939920034621440,12.20423347645609,85.24441564170263,,,,,,20.966494,21.390913,19.57197,0.01742719590232736
573939915739819776,12.21243448192342,85.24476565535515,0.4608606759266731,0.11692977318550446,-1.8843669219797852,-1.0629950548889564,,17.58494,18.269184,16.776035,0.01743457560082854
573938438276932864,12.113925564075874,85.24246603144081,2.03554159155809,0.339562132653632,-7.178890559528368,0.9835044177130525,,19.092764,20.07672,17.865063,0.017536980018066375
573939954395447936,12.310891411868495,85.25396900184019,0.5115298194083291,0.08706968150281422,-2.1394633157101155,-0.7571750082846349,,17.371248,18.02024,16.595263,0.017672000821483194
573941466223933440,11.907856170863873,85.2538398237686,0.5137419558078117,0.024289874819644484,-2.204413411583614,-1.0274260771878039,,14.751575,15.162818,14.186094,0.017813847762451082
573940057474651008,12.252563333226526,85.27356366629989,0.46620070322702767,0.0219939066444609,-2.358772389497435,-0.9481752332191212,,14.922084,15.275903,14.401038,0.01795437801441942
573942943692678528,11.892310106026308,85.26111291829965,0.47586752509742025,0.08099675672255173,-3.4015525599612855,-0.8570825573601083,,17.100616,17.571144,16.486467,0.0180209262988305
573939950099563392,12.326224044196273,85.25740933125569,0.9254833307564067,0.3109449308218623,-1.5629795549868353,2.0385137375713636,,19.263363,20.056952,18.182224,0.018059164631503543
573942909332933120,11.96609164569406,85.2737983752781,0.5410518312029581,0.03924668693336813,-2.1637985678568112,-0.7958253597648676,,15.852025,16.218594,15.333546,0.018204350265965105
573942939395342336,11.893817722944169,85.26404372071708,0.5142011661215286,0.02799915785434775,-2.3217920505629706,-0.9360109974650243,,15.2414875,15.583709,14.740095,0.018308590944831594
573943012412147328,12.074424224162494,85.27810577004931,0.4530831802473465,0.040630375815736836,-2.2589961750210956,-0.9273807054249167,,16.14171,16.530785,15.59565,0.018341981054283373
573939954393830016,12.32202932760129,85.25439446069339,0.8319719799426093,0.4531890142151466,-1.388052378197994,-0.7953238577786487,,20.107218,20.76101,18.84816,0.018405583172021
573940057474656640,12.320521635825934,85.26635980667552,0.4424650425306737,0.09289972570783239,-2.115180002708155,-0.9250290582518111,,17.627008,18.19248,16.914597,0.01851142921871077
573940057473567872,12.273546556016825,85.27271951078077,3.027905405924319,1.3267275954983915,8.396150177274837,-18.196337308014627,,20.640667,21.310703,19.15074,0.018545617176823136
573938438271068672,12.156679468736574,85.24160293945245,0.8159513891177479,0.03648685764580206,12.5144577188513,-3.3034501656699677,,15.617163,16.066448,15.00233,0.01879862762114149
573941393208566400,12.024578397480974,85.24253052378032,0.5007176952901722,0.18635323032750933,-3.1689233957992347,-1.1851140605778852,,18.524635,19.245895,17.6742,0.01884653244401124
573941393208571136,11.979247758525734,85.24451581138543,0.48347560192649824,0.174493452155073,-2.350084640023408,-1.0913972071844429,,18.59572,19.430496,17.642303,0.01889127478565212
573942939395438336,11.907434487464004,85.26961620892685,0.475228616930734,0.06271397963944297,-2.02956293319286,-1.0151443844795518,,16.853643,17.336313,16.215517,0.0192897194545109
573942973756611072,11.959601584940199,85.27480940577787,0.23593113893674625,0.11629263210755511,-2.256488893098992,-1.3049205988677417,,17.865799,18.502495,17.074188,0.01932081000517232
573943012412146176,12.068739928493585,85.27948682384779,0.5097410122440165,0.024460573723184054,-2.280690189799849,-1.028226831312916,,15.128978,15.509274,14.580795,0.019781640076936124
573941466223933184,11.87682414804967,85.25419764712407,0.5296108806770322,0.036556304595068825,-2.2178769830369696,-0.97181079291479,,15.839457,16.286467,15.229489,0.020134256068559002
573939915739818880,12.24291565699323,85.24283677249718,0.46619100497061355,0.10303557423761157,-2.50337498010911,-1.0114673803038445,,17.39934,17.925554,16.71891,0.02038742163418895
573940057474658304,12.351750794832483,85.26466646355912,3.3026324141164642,0.021320527543039113,10.09749474239497,-17.914023725943448,,14.778453,15.532916,13.938669,0.020505118473185112
573941393208565760,11.977673183606528,85.2425689127642,-0.29260562595028355,0.5062504564652569,-0.4255079980985897,0.8631255505471236,,20.05755,20.176851,19.458252,0.020587612131399115
